City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,ostersund,63.1792,14.6357,14.25,58,99,3.09,SE,1715644478
237,pisco,-13.7,-76.2167,20.03,83,0,2.57,PE,1715644418
238,mashhad,36.297,59.6062,24.08,38,0,5.14,IR,1715644778
239,ilha de mocambique,-15.0342,40.7358,26.29,68,0,7.89,MZ,1715644778
240,enchanted hills,35.3368,-106.593,27.62,17,11,3.58,US,1715644778
241,mata-utu,-13.2816,-176.1745,28.72,79,99,7.54,WF,1715644405
242,ust'-kut,56.7938,105.7672,11.01,41,56,2.21,RU,1715644401
243,amnat charoen,15.9167,104.75,25.88,87,100,2.85,TH,1715644779
244,fort bragg,35.139,-79.006,24.91,49,100,3.09,US,1715644393
245,arar,30.9753,41.0381,21.01,30,0,5.14,SA,1715644780
246,jayapura,-2.5333,140.7,27.66,93,100,1.78,ID,1715644780
247,mundi,22.0667,76.5,29.91,42,84,3.09,IN,1715644780
248,xinyuan,37.3,99.0,7.69,49,0,0.8,CN,1715644780
249,kolonia town,6.964,158.206,31.0,74,100,2.06,FM,1715644781
250,panaba,21.2833,-88.2667,33.36,39,100,7.38,MX,1715644781
251,tura,25.5198,90.2201,25.33,65,7,1.51,IN,1715644551
252,karratha,-20.7377,116.8463,24.46,70,0,2.13,AU,1715644531
253,auki,-8.7676,160.7034,27.94,80,86,0.86,SB,1715644782
254,milton-freewater,45.9326,-118.3877,25.51,39,4,2.24,US,1715644782
255,tadine,-21.55,167.8833,25.8,70,15,5.65,NC,1715644556
256,harper,4.375,-7.7169,27.29,84,73,3.34,LR,1715644782
257,chui,-33.6971,-53.4616,7.61,81,36,3.23,UY,1715644783
258,boa vista,2.8197,-60.6733,29.99,66,40,2.57,BR,1715644714
259,cockburn town,21.4612,-71.1419,26.43,85,52,8.71,TC,1715644698
260,vilyuchinsk,52.9306,158.4028,4.15,99,100,2.67,RU,1715644366
261,baise city,23.8997,106.6133,23.52,99,9,0.38,CN,1715644784
262,dalandzadgad,43.5708,104.425,9.44,26,84,6.57,MN,1715644417
263,fort mcmurray,56.7268,-111.381,20.77,28,40,4.63,CA,1715644557
264,tezu,27.9167,96.1667,23.86,61,96,1.5,IN,1715644785
265,stanley,54.868,-1.6985,14.18,84,0,2.06,GB,1715644524
266,prince albert,53.2001,-105.7677,16.97,34,75,5.66,CA,1715644785
267,rongelap,11.1635,166.8941,27.46,82,81,8.68,MH,1715644556
268,tofol,5.3248,163.0078,29.88,79,75,3.09,FM,1715644786
269,puerto baquerizo moreno,-0.9,-89.6,23.49,87,91,3.7,EC,1715644331
270,la ronge,55.1001,-105.2842,15.12,41,75,6.69,CA,1715644786
271,corn island,12.1694,-83.0418,28.55,84,93,8.04,NI,1715644786
272,abu zabad,12.35,29.25,31.88,15,23,6.95,SD,1715644787
273,gospic,44.5461,15.3747,9.83,97,99,1.32,HR,1715644787
274,lethem,3.3803,-59.7968,27.29,65,84,3.16,GY,1715644788
275,kentau,43.5206,68.5094,20.08,43,42,3.58,KZ,1715644788
276,happy valley-goose bay,53.3168,-60.3315,10.17,62,20,4.63,CA,1715644538
277,xinpu,34.5997,119.1594,21.52,54,0,3.69,CN,1715644788
278,arkhangel'sk,64.5401,40.5433,0.07,86,20,2.0,RU,1715644788
279,modimolle,-24.7,28.4,13.83,85,10,1.42,ZA,1715644789
280,san antonio de pale,-1.4014,5.6325,26.6,87,68,3.93,GQ,1715644540
281,pedernales,18.0384,-71.744,28.34,76,21,5.04,DO,1715644789
282,karwar,14.8,74.1333,27.71,86,10,1.61,IN,1715644790
283,kerikeri,-35.2268,173.9474,17.73,77,100,3.35,NZ,1715644423
284,nola,40.922,14.5329,18.68,90,99,0.47,IT,1715644790
285,milton,34.1322,-84.3007,19.05,88,100,3.87,US,1715644656
286,la'ie,21.6477,-157.9253,27.98,84,19,1.34,US,1715644492
287,praia da vitoria,38.7333,-27.0667,17.14,72,75,4.58,PT,1715644409
288,susuman,62.7833,148.1667,-0.01,84,100,3.58,RU,1715644556
289,santiago del torno,-17.9833,-63.3833,15.1,82,100,3.63,BO,1715644791
290,lamar,33.6668,-95.5836,24.95,79,20,2.57,US,1715644792
291,zakopane,49.299,19.9489,2.24,83,7,2.08,PL,1715644784
292,bardai,11.65,7.2333,28.19,55,71,4.09,NG,1715644532
293,alice springs,-23.7,133.8833,14.75,77,54,5.14,AU,1715644428
294,serhiyivka,46.0272,30.3768,9.21,60,85,4.29,UA,1715644793
295,pacific grove,36.6177,-121.9166,19.66,79,75,4.02,US,1715644529
296,lerwick,60.1545,-1.1494,10.0,97,100,6.93,GB,1715644793
297,weinan,34.5036,109.5089,24.02,48,4,2.0,CN,1715644793
298,ceerigaabo,10.6162,47.368,19.66,71,75,3.58,SO,1715644794
299,enshi,30.3,109.4833,19.42,71,8,0.25,CN,1715644794
300,as sulayyil,20.4607,45.5779,32.14,18,8,3.35,SA,1715644794
301,georgetown,5.4112,100.3354,28.96,83,20,2.06,MY,1715644434
302,kialla,-36.4161,145.3954,13.12,59,0,5.67,AU,1715644795
303,portland,45.5234,-122.6762,23.12,54,40,5.14,US,1715644394
304,tobelo,1.7284,128.0095,28.08,76,98,0.53,ID,1715644795
305,saint-philippe,-21.3585,55.7679,21.77,78,51,3.69,RE,1715644542
306,sambava,-14.2667,50.1667,23.15,88,75,4.73,MG,1715644434
307,dinghaicun,26.2847,119.7936,17.51,67,93,3.21,CN,1715644796
308,kapit,2.0167,112.9333,23.77,100,100,0.66,MY,1715644796
309,mutuali,-14.8706,37.0044,18.23,86,38,1.67,MZ,1715644796
310,challapata,-18.9,-66.7667,12.95,40,10,1.96,BO,1715644797
311,kenora,49.8167,-94.4337,13.54,44,75,3.09,CA,1715644379
312,bratsk,56.1325,101.6142,9.27,60,57,2.99,RU,1715644797
313,tralee,52.2704,-9.7026,9.37,95,98,1.37,IE,1715644797
314,port hedland,-20.3167,118.5667,20.03,94,40,2.57,AU,1715644798
315,yeroham,30.9872,34.9314,13.86,86,9,2.1,IL,1715644798
316,qaqortoq,60.7167,-46.0333,3.17,76,68,1.43,GL,1715644531
317,vadso,70.0744,29.7487,4.49,87,40,2.06,NO,1715644547
318,kosh-agach,50.0,88.6667,11.28,51,100,3.13,RU,1715644799
319,machali,-34.1833,-70.6667,9.06,51,0,0.66,CL,1715644799
320,dudinka,69.4058,86.1778,-1.85,98,100,3.58,RU,1715644388
321,matoury,4.8483,-52.3317,24.98,100,100,2.57,GF,1715644645
322,kashin,57.3592,37.6081,3.29,86,99,2.24,RU,1715644800
323,san fernando de apure,7.8878,-67.4724,28.59,58,58,0.75,VE,1715644552
324,ceres,37.5949,-120.9577,30.98,29,6,5.84,US,1715644800
325,taoudenni,22.6783,-3.9836,34.86,10,12,2.66,ML,1715644401
